ADM3_PCODE,inhabitants_100m,inhabitants_inside5km_events,exposed_to_conflict_indicator,inhabitants_inside5km_VAC,inhabitants_inside5km_Battles,inhabitants_inside5km_Riots,inhabitants_inside5km_Protests,inhabitants_inside5km_ERV
BF470108,47797.77422,2517.964514,0.052679535,0,2517.964514,53.91800737,59.70172071,59.70172071
BF470109,102194.748,0,0,0,0,0,0,0
BF470201,17584.20809,0,0,0,0,0,0,0
BF470202,10767.49638,8245.686942,0.765794262,0,8245.686942,0,8245.686942,8245.686942
BF470203,12195.76776,1560.541417,0.12795762,0,1560.541417,1560.541417,1560.541417,1560.541417
BF470204,37311.58833,5558.213469,0.148967485,0,5558.213469,5558.213469,5558.213469,5558.213469
BF470205,52488.14608,0,0,0,0,0,0,0
BF470206,14695.66389,0,0,0,0,0,0,0
BF470207,22786.09986,1564.255679,0.068649558,0,1564.255679,981.7271795,1564.255679,1564.255679
BF470208,5618.824086,96.76121759,0.017220902,0,96.76121759,96.76121759,96.76121759,96.76121759
BF480101,45009.76864,0,0,0,0,0,0,0
BF480102,36572.1563,0,0,0,0,0,0,0
BF480103,27580.33929,24432.04637,0.885850102,0,24432.04637,24432.04637,24432.04637,24432.04637
BF480104,67852.9873,19330.0861,0.284881873,0,19330.0861,19330.0861,19330.0861,19330.0861
BF480105,104539.447,17233.51834,0.164851822,4619.346725,17233.51834,4619.346725,4619.346725,4619.346725
BF480106,26430.02837,902.8610806,0.034160428,0,902.8610806,902.8610806,902.8610806,902.8610806
BF480107,97129.67353,45519.19803,0.468643581,33973.44174,45519.19803,45519.19803,45519.19803,45519.19803
BF480108,27092.47302,6859.420747,0.253185479,0,6859.420747,6859.420747,6859.420747,6859.420747
BF480109,19469.24214,10876.13751,0.558631786,0,10876.13751,10876.13751,10876.13751,10876.13751
BF480110,157340.9009,53824.33408,0.342087364,46579.62006,53824.33408,53824.33408,53824.33408,53824.33408
BF480111,106778.4453,49068.09867,0.45953187,7026.265156,49068.09867,7026.265156,7026.265156,21706.4755
BF480112,11241.78335,5783.297393,0.514446615,5783.297393,5783.297393,5783.297393,5783.297393,5783.297393
BF480113,17615.09431,11852.97464,0.672887379,0,11852.97464,7242.453911,7242.453911,7246.734761
BF480202,14762.05964,0,0,0,0,0,0,0
BF480201,72443.25822,17939.65005,0.247637261,17939.65005,17939.65005,17939.65005,17939.65005,17939.65005
BF480203,16571.60296,0,0,0,0,0,0,0
BF480204,52429.96878,18665.9592,0.356016981,0,18665.9592,722.5666099,18665.9592,18665.9592
BF480205,61882.33963,16310.50738,0.263572895,3836.007493,16310.50738,3836.007493,16310.50738,16310.50738
BF480206,60382.98275,14426.89607,0.23892321,11886.08872,14426.89607,11886.08872,11886.08872,11886.08872
BF480207,57749.2896,20314.54795,0.351771391,20314.54795,20314.54795,20314.54795,20314.54795,20314.54795
BF480208,37172.77277,6222.509855,0.167394289,129.6337347,6222.509855,6200.759281,6222.509855,6222.509855
BF480301,61136.14732,8934.590566,0.146142519,1689.944304,8934.590566,1689.944304,1689.944304,1689.944304
BF480302,19053.91113,0,0,0,0,0,0,0
BF480303,46181.0235,0,0,0,0,0,0,0
BF480304,36197.9583,0,0,0,0,0,0,0
BF480305,40295.59476,2127.784017,0.052804383,162.0266848,2127.784017,2127.784017,2127.784017,2127.784017
BF480306,81175.9167,41997.91585,0.51736916,1082.543191,41997.91585,38961.46018,38961.46018,38961.46018
BF480307,115699.4819,100313.1257,0.867014476,90521.95856,100313.1257,100313.1257,100313.1257,100313.1257
BF480308,23877.35165,0,0,0,0,0,0,0
BF480309,23114.08353,0,0,0,0,0,0,0
BF490101,67200.96783,57022.17907,0.848532111,53058.29428,57022.17907,54200.89651,54200.89651,54200.89651
BF490102,28321.49556,11462.06332,0.404712502,0,11462.06332,0,0,431.3671122
BF490103,95450.51613,54178.99823,0.567613465,48977.95579,54178.99823,54178.99823,54178.99823,54178.99823
BF490104,12993.68496,12721.43593,0.979047589,11683.17292,12721.43593,12721.43593,12721.43593,12721.43593
BF490105,38253.87424,10610.95114,0.277382392,121.7736406,10610.95114,121.7736406,121.7736406,121.7736406
BF490106,16261.13737,0,0,0,0,0,0,0
BF490107,28656.12268,14342.93596,0.500519073,628.736907,14342.93596,9820.948929,9820.948929,14342.93596
BF490108,41768.69067,0,0,0,0,0,0,0
BF490109,34667.71622,32396.58269,0.934488516,29775.63765,32396.58269,32396.58269,32396.58269,32396.58269
BF490201,45760.02101,0,0,0,0,0,0,0
BF490202,101799.0723,22740.41547,0.223385292,21505.71767,22740.41547,22740.41547,22740.41547,22740.41547
BF490203,52507.16052,21239.43035,0.404505407,16589.07256,21239.43035,17309.92488,17309.92488,17309.92488
BF490204,35103.06789,0,0,0,0,0,0,0
BF490205,22371.34857,6032.207388,0.269639864,25.02732611,6032.207388,4364.17883,4364.17883,4364.17883
BF490206,106216.6283,24409.51962,0.229808835,16243.20101,24409.51962,24409.51962,24409.51962,24409.51962
BF490207,46958.15785,0,0,0,0,0,0,0
BF490208,29523.48386,0,0,0,0,0,0,0
BF490301,118553.6437,77593.9136,0.654504671,62108.02141,77593.9136,66694.74775,66694.74775,66694.74775
BF490302,106166.9177,20828.18541,0.196183386,20446.44036,20828.18541,20828.18541,20828.18541,20828.18541
BF490303,29400.01333,20051.63797,0.682028193,15559.73806,20051.63797,16183.72762,16183.72762,16183.72762
BF490304,157496.5531,82971.93364,0.526817457,82907.15836,82971.93364,82971.93364,82971.93364,82971.93364
BF490305,57174.17353,3049.846281,0.053343076,0,3049.846281,3049.846281,3049.846281,3049.846281
BF490306,60603.70906,865.9306135,0.01428841,0,865.9306135,0,0,865.9306135
BF490307,10914.27038,7861.398473,0.720286212,5756.691214,7861.398473,7830.235462,7830.235462,7830.235462
BF490308,50548.63205,36215.03163,0.7164394,31019.1227,36215.03163,31637.13757,31637.13757,31637.13757
BF490309,37029.27649,0,0,0,0,0,0,0
BF490310,127271.2912,56127.84814,0.441009497,47831.91603,56127.84814,50587.99752,50587.99752,50587.99752
BF490311,36621.6035,0,0,0,0,0,0,0
BF500101,16592.32621,6252.375803,0.376823341,6252.375803,6252.375803,6252.375803,6252.375803,6252.375803
BF500102,31715.84155,0,0,0,0,0,0,0
BF500103,39871.76192,0,0,0,0,0,0,0
BF500104,39141.83877,16966.85915,0.433471183,151.1559508,16966.85915,16966.85915,16966.85915,16966.85915
BF500105,169672.7033,100161.0288,0.590319048,100140.9993,100161.0288,100140.9993,100161.0288,100161.0288
