ADM3_PCODE,Healthcare_accessibility_Motorized_2019,Healthcare_accessibility_walking_only_2019,Travel_Time_to_Cities_2015
BF130001,6.4713758743050835,33.52589271641478,31.615435806728446
BF130002,5.262148341495113,36.176110004783794,25.058072913769525
BF130003,14.372653506206653,51.20293257878293,76.55856127042736
BF130004,1.816155077162833,18.033046364485024,1.4780555267434237
BF130005,10.618409513489784,42.14299509799411,21.936310711756526
BF130006,5.246006740592894,49.66865700127464,29.552426913140994
BF130007,7.091330269355889,35.800443837487215,20.103402754068526
BF460101,24.493017849777516,81.41999987975788,89.09818975416495
BF460102,10.443465638361392,44.804198884212596,92.75946951159833
BF460103,59.168482941830376,116.48656668506577,123.56419922723697
BF460104,37.206948107088145,100.75688543329164,143.18889919337443
BF460105,27.486963104375963,71.74383552968676,97.5622952612883
BF460106,36.9376275432563,98.6727804932967,66.07861974500187
BF460107,12.953855037477139,55.48210158782945,102.43716019619261
BF460108,16.466022375613104,55.889671449443696,104.78867118720264
BF460109,30.856316116101823,78.34576749667677,106.47078976579733
BF460110,23.76384860921012,71.68085660744167,120.20281794586573
BF460201,80.31997390842425,140.07559949632616,141.33551038481227
BF460202,30.153614341608872,65.95664480352049,114.70892257925605
BF460203,28.9923812071649,91.55929047364287,175.6034725937454
BF460204,42.37843086872021,108.04255117200391,94.39546880158467
BF460205,41.014403506674,94.18088869673821,101.4937099485996
BF460206,45.63792152278675,149.28163593851824,154.19268657288518
BF460301,43.070466430052655,133.38345619193427,150.52091714957433
BF460302,25.76453290499152,74.3791969794641,65.42951468827704
BF460303,49.48365991036745,104.35050069070658,81.25309671613384
BF460304,32.38737670911486,125.0343675285473,102.20068033490567
BF460305,45.34417179671461,91.21326804338867,109.99929246603587
BF460306,27.420782088487442,80.0247973716553,102.40520849231658
BF460307,30.6434749095539,97.05536283891547,181.10631977671457
BF460308,22.067176441696343,86.12228862664197,72.3553074659467
BF460309,33.17296081248351,83.23331436567845,62.083776793847605
BF460311,24.243656418456144,99.73722157030647,97.99481991267848
BF460401,29.08381309222042,85.06117561885664,100.96150264373466
BF460402,32.810609081593185,108.04299935567923,67.7888607792657
BF460403,31.41208317600051,106.26284966018092,52.02990086601651
BF460404,36.15919609908953,92.94031965789452,105.61626631051584
BF460405,53.91770130239224,109.1599974296456,130.25456505674424
BF460406,36.11290109874073,95.56497000602214,79.2384970944556
BF460407,32.353188452345925,118.80313673475915,85.96776586183121
BF460501,42.95315079344343,104.80105038375146,100.56111809809714
BF460502,34.404241331766166,89.5148822299143,124.92470751554897
BF460503,37.237307468033286,96.6430364150771,83.75780323081135
BF460504,22.813929479374423,60.98139475258521,65.58212973250147
BF460505,29.158943359741457,78.70280772722201,57.05806033773414
BF460506,41.94827831703297,87.44269710251041,109.79897599967906
BF460601,15.41681921199356,56.307823459288606,113.54894513598182
BF460602,25.869511955778155,86.03053342346517,113.23732521134133
BF460603,28.26236455856583,75.70377318811707,85.39003076991189
BF460604,23.49089874974309,71.91062313744493,71.73231797230278
BF460605,24.166865215763433,70.03422027888125,120.85775988482152
BF460606,12.458294888699456,57.84416737435352,61.96493733755375
BF460607,35.52789144460233,117.97953533540812,148.19144839962743
BF460608,33.99316521388231,83.39092074389492,64.13959329104017
BF470101,23.470143753597284,76.45495897143003,44.04148467129895
BF470102,23.56944975327612,71.31144204722024,46.19779162025768
BF470103,55.53168609070633,149.68002851285357,231.5158328586267
BF470104,21.50138279231836,66.97218981190615,83.98785788468197
BF470105,88.13077773748225,157.01879388279713,156.09338454211485
BF470106,31.62720755013512,182.64441401930293,156.37248798248717
BF470107,52.01694075693471,165.0982747530705,136.4566632510006
BF470108,21.166842286135765,86.00649098102328,68.54580567290287
BF470109,37.26900700219321,129.89870300850245,103.92539751178147
BF470201,25.32141360267554,101.90027006709929,94.54890441852056
BF470202,14.75909715531938,69.1223789302295,41.44326607846159
BF470203,17.365695377155728,69.87607646735484,71.60949123557079
BF470204,17.419140771174888,54.51114533791448,112.41908840106292
BF470205,8.372660986481897,52.81951089845825,118.5987973619552
BF470206,17.25886359377514,57.678342348139054,107.64994068324857
BF470207,22.990422411726666,72.58204264020904,65.3699113871322
BF470208,17.30511669620463,62.2312809244062,50.47701690658778
BF480101,27.15969637472171,65.37165790622213,70.09604546575837
BF480102,98.82414450934158,150.64559263924463,171.87205432144083
BF480103,14.036358269579573,32.483261938759306,34.84348722830397
BF480104,67.31530872493123,109.09345215522694,141.65641511818978
BF480105,47.543756054844614,110.11285388148957,89.94458976089021
BF480106,30.472972195125895,79.2519314674896,80.14448228157923
BF480107,43.047146445949366,82.5837999971501,67.77363598797356
BF480108,43.15170229644858,74.90004404154588,70.09580871288586
BF480109,38.475551574265566,107.01998125652044,60.511732357257785
BF480110,39.71308772336579,77.15914482540187,64.70327975294954
BF480111,23.572785920747148,81.24795172564872,124.27830641467355
BF480112,33.66340259857833,71.99712341744896,152.0674360520197
BF480113,15.966260116189341,48.34520867655134,100.74700256269443
BF480202,34.5787348015108,63.707401646250545,149.20289714174598
BF480201,82.0669897281162,173.0297422737717,177.16588694137695
BF480203,64.06226915901541,139.92631539499314,149.3936366361865
BF480204,26.48163199999184,82.74075088275558,106.96856669308922
BF480205,25.566138184521325,74.97188539821096,68.10996067585668
BF480206,71.05396526104862,159.99933813170117,153.12430142035663
BF480207,26.654783712601535,63.49670988797742,55.9571403369498
BF480208,69.88326911368323,128.6399286987522,212.48827094474132
BF480301,28.147319930288713,78.36775947459083,53.166984280792406
BF480302,20.572857961016183,77.49734227678289,37.38669872808959
BF480303,26.95396762556064,93.34983067484659,40.45441963190183
BF480304,15.322603797852093,53.76635906900441,44.55434225366552
BF480305,16.716949351458865,65.36181737425382,38.12367158131924
BF480306,12.18212420864615,52.69996918898563,17.810044390683668
BF480307,9.397364449648302,38.58545755656515,10.846653089541887
BF480308,28.239175207391963,79.60047955414427,55.90264726848553
BF480309,21.246627721870603,59.45098184147634,40.23985512602556
BF490101,29.532735937765654,84.94741865812016,93.4371699296313
BF490102,17.978705338059093,45.51655109660822,77.44046311694021
BF490103,14.146015660772797,56.95150982585082,90.59494898774344
BF490104,27.550011703625643,59.763309411411555,55.01915572898189
BF490105,27.016963489780238,78.3257735806303,135.07318276029824
BF490106,36.11911481457574,64.7496430724325,99.41232272597479
BF490107,19.999649028181864,63.549818890141275,79.73188080673224
BF490108,19.568368770427803,49.17469013285807,86.17981407971486
BF490109,27.826390550311213,93.03172125575897,108.44413114809134
BF490201,41.407904878493056,75.35671139278111,79.66499150038776
BF490202,28.31498259486637,78.06082846333199,60.81111196598637
BF490203,46.56291114031207,95.18147090054934,148.0986846647227
BF490204,29.417597617449253,82.03965039587115,64.80161442292818
BF490205,36.81222494306444,103.3106914129865,108.30304112315675
BF490206,38.137820939212695,89.22687095010403,81.240600751521
BF490207,25.767620455693436,97.41386827148122,48.644145770645295
BF490208,30.55108774353482,72.72283126787413,86.12009532888462
BF490301,36.38694391324193,110.93037767030404,98.31152534409145
BF490302,10.292725471488724,57.12484830878944,39.536042768721806
BF490303,26.415481612006285,113.87356290672453,144.32640319956613
BF490304,14.96470554554929,53.94246195334778,33.0498213610911
