ADM3_PCODE,MNDWI,BRBA,NBAI,NDSI,VARI,SAVI,OSAVI,NDMI,NBAI,EVI,NDVI,SR,ARVI,UI
BF130001,-0.19414189521167574,0.7302051604918054,-0.5472102463250378,-0.19414189521167574,-0.0678784866295462,0.14565485555924312,0.1281504573391825,-0.005207335339441641,-0.5472102463250378,0.34100704246770075,0.15084743381399063,1.355289355107353,0.25343938328710075,-0.08829895178744848
BF130002,-0.19842837435468091,0.745700203564515,-0.5024096425090154,-0.19842837435468091,-0.07596140727773737,0.15280420636537553,0.1366021277918886,-0.031211586634491174,-0.5024096425090154,0.327368954119631,0.1627084095589423,1.3886541114624904,0.28088003811568596,-0.03142484237195421
BF130003,-0.2012569561145193,0.7337355849179379,-0.5068418918629508,-0.2012569561145193,-0.0788122822438434,0.15431391703913674,0.13413978141143804,-0.007606808642758216,-0.5068418918629508,0.34557789624986723,0.15652451138834442,1.37114181384448,0.26908290064286206,-0.03384464573455222
BF130004,-0.14765732657824043,0.8386162248651658,-0.4677397245198889,-0.14765732657824043,-0.08482854663249031,0.14362466571801116,0.12444260612927333,-0.012146029296855597,-0.4677397245198889,0.3039043443626787,0.14487230874528467,1.3388319901855028,0.2716354557004648,-0.02694403986822513
BF130005,-0.17351314553126795,0.7839610563739695,-0.4617255321115821,-0.17351314553126795,-0.08141738350413755,0.1366040131596962,0.1168913661126669,0.00231722209516579,-0.4617255321115821,0.3160306458970072,0.13488996932600392,1.3118446545369793,0.2575822283286078,-0.06343788941634258
BF130006,-0.18645304455398018,0.7486648757120664,-0.5192330654246681,-0.18645304455398018,-0.06658987457479038,0.17243460653172857,0.15140520939259988,0.007105492969623093,-0.5192330654246681,0.40305973004958123,0.1779578946880283,1.432965400526514,0.27729747306457125,-0.08578441124395735
BF130007,-0.2017718955919806,0.7427630969100509,-0.49276953233500465,-0.2017718955919806,-0.08844309307046536,0.14871582076214496,0.12841128218822526,-0.01894504776779131,-0.49276953233500465,0.31642884482214473,0.14912786502011036,1.350529436537806,0.2744758346548028,-0.06124733166825761
BF460101,-0.20031615476380704,0.7218025483716295,-0.537528373770342,-0.20031615476380704,-0.05384289210135084,0.16986058886115862,0.14979946393636626,-0.005768198380335538,-0.537528373770342,0.3810421686655939,0.17663509781936892,1.429056660908333,0.2926505494287905,-0.07029171956688601
BF460102,-0.22125349275973785,0.6898120203219865,-0.5841445290923454,-0.22125349275973785,-0.06698482869486592,0.1621450385982553,0.14425579565220054,-0.01275832202252997,-0.5841445290923454,0.36193780780180707,0.1712062378705028,1.4131455753976878,0.279491095453826,-0.09838494189125371
BF460103,-0.13477224676744579,0.8162328998197662,-0.5429800080014456,-0.13477224676744579,-0.03619137167947541,0.17880400118316025,0.15985125473696518,0.020815596477159835,-0.5429800080014456,0.43575946997242365,0.1904062103857933,1.4703746812991907,0.283524439321321,-0.06999000716188616
BF460104,-0.16225830326579696,0.7633856967169075,-0.5351185505870418,-0.16225830326579696,-0.049717879793875715,0.16394438093498867,0.14533913113024008,0.013349354915346855,-0.5351185505870418,0.3835946204407833,0.17215838998601618,1.4159210841868848,0.285685367766072,-0.068053188214616
BF460105,-0.19852741664292786,0.7255884114608905,-0.5323206180482499,-0.19852741664292786,-0.06389798412591334,0.15596656387391805,0.13696029725645012,-0.00717587753067948,-0.5323206180482499,0.34177357816532344,0.16099234490657144,1.3837684767933232,0.28268487486469,-0.044477322719178855
BF460106,-0.1955856734165482,0.7303217288013898,-0.5292001148238712,-0.1955856734165482,-0.029111695962459203,0.1934823190106561,0.1744441830766923,0.0289278969208304,-0.5292001148238712,0.4791460193530008,0.20912486686235196,1.5288442083965605,0.30588907554360206,-0.07783538999350104
BF460107,-0.2019962851085386,0.7200714272335058,-0.5437524823066437,-0.2019962851085386,-0.0694096843976336,0.17466467783766995,0.15218509976690453,0.0022420863025570787,-0.5437524823066437,0.3721036044189431,0.177879034952127,1.4327320248833915,0.29820297063299717,-0.0812101745340113
BF460108,-0.2293742910965921,0.6839074975741721,-0.5676878188101272,-0.2293742910965921,-0.0732037677357815,0.15176727321317168,0.1342576701706705,-0.029935404161141183,-0.5676878188101272,0.3249107636254328,0.15866990470353817,1.3771882299007199,0.2787558246060635,-0.07355283239672268
BF460109,-0.18859446219085627,0.7385958354459581,-0.5182172646971384,-0.18859446219085627,-0.06737816294869733,0.14458428632826553,0.12612444098484596,-0.0028740040579996783,-0.5182172646971384,0.3342263182339572,0.14754336443208885,1.3461603987252553,0.26008708405484565,-0.08079489922681121
BF460110,-0.21654737426978252,0.6956834333781694,-0.5528029003546775,-0.21654737426978252,-0.06628839385859188,0.1528273410107764,0.13503844131979684,-0.02059891879847438,-0.5528029003546775,0.35298538568117804,0.15945599311122696,1.3794114092882406,0.2839181768305837,-0.06613618557566932
BF460201,-0.18843021257113815,0.7394848538024523,-0.5289982592351459,-0.18843021257113815,-0.059187347733986,0.17107827793295138,0.15042539838992405,3.862398228595383E-4,-0.5289982592351459,0.37080198013657756,0.17698744838515462,1.4300965958244132,0.29686894166920486,-0.048898125073654694
BF460202,-0.22323914181889948,0.7015449355962375,-0.5257746519268339,-0.22323914181889948,-0.05707649227574652,0.18584197166553593,0.16488373226009906,-0.007764792213591467,-0.5257746519268339,0.39967826933393685,0.19528781325994202,1.485360645651623,0.3144127460085635,-0.05018165664514285
BF460203,-0.18290635253579676,0.744760947297365,-0.5257953405455985,-0.18290635253579676,-0.045970712215069605,0.1784614108578569,0.1573293888998229,0.00228869168435164,-0.5257953405455985,0.40444964973020736,0.18546629094002554,1.4553925488340216,0.2896159060099413,-0.06758115715071746
BF460204,-0.1773764385787177,0.7331611586894204,-0.503378710378234,-0.1773764385787177,-0.031050723026483346,0.17321141578518096,0.15282324244379403,0.017664576500715585,-0.503378710378234,0.43835840413392274,0.18026007216966414,1.4397981995259674,0.2716177536982961,-0.05882466955869691
BF460205,-0.17338367508708988,0.7647558685345854,-0.5159725562312714,-0.17338367508708988,-0.04076362284182033,0.17740519207686437,0.15758896644651435,0.007683152317058947,-0.5159725562312714,0.4358838582813512,0.18681568154871822,1.4594670047364187,0.29624002433266233,-0.049217725320590794
BF460206,-0.16857506571387054,0.7588308263984689,-0.4865038164921511,-0.16857506571387054,-0.05651944853876978,0.1699380974262196,0.14926656493513127,0.005712114219806825,-0.4865038164921511,0.3604284679556229,0.17548993845064048,1.4256829519360201,0.3050753473807815,-0.049869514461367476
BF460301,-0.17780366079843854,0.7274135903414083,-0.4842109570277285,-0.17780366079843854,-0.024606056622685377,0.17297900457556334,0.1540565579362621,0.019991724530302433,-0.4842109570277285,0.44697158663244924,0.18364538849592305,1.4499157251223684,0.31720464802484083,-0.0074188068148226555
BF460302,-0.21381188524481828,0.7259630487628931,-0.48018906180609033,-0.21381188524481828,-0.08911155044752912,0.14000094405090432,0.12075464119139019,-0.021453083572934066,-0.48018906180609033,0.2956093268445552,0.14012797715311193,1.3259275181187367,0.2847127486491879,-0.03153539547883846
