ADM3_PCODE,MNDWI,BRBA,NBAI,NDSI,VARI,SAVI,OSAVI,NDMI,NBAI,EVI,NDVI,SR,ARVI,UI
BF130001,-0.20691715739381208,0.7270179206399218,-0.5491733017749416,-0.20691715739381208,-0.08653385401327383,0.1366434257962636,0.11958205448940074,-0.01825431641251611,-0.5491733017749416,0.309441145447802,0.1402158336568342,1.3261651915577841,0.2517609580112476,-0.09037703379571112
BF130002,-0.23933438856360176,0.6716353240654676,-0.5806461278756136,-0.23933438856360176,-0.10567030268754835,0.09231631115627836,0.08005412397622685,-0.06720708662662081,-0.5806461278756136,0.19083070434531021,0.09325244085191409,1.2056855624503193,0.2311194859047641,-0.06191075281182367
BF130003,-0.23198943040421477,0.695350614021641,-0.5449291199209834,-0.23198943040421477,-0.10653323957079713,0.10593115375141303,0.09090821939966254,-0.0543610543764473,-0.5449291199209834,0.21953862035474153,0.10511897639072745,1.2349339713714278,0.24210606191416603,-0.09408825456989359
BF130004,-0.2121687565859774,0.7222952847380688,-0.5218479514724947,-0.2121687565859774,-0.10188464223550153,0.061663128569383475,0.05399260132815885,-0.036332470143711194,-0.5218479514724947,0.13161443757437577,0.06333342990763936,1.1352315368774062,0.19622844772130382,-0.07152196980315922
BF130005,-0.19920664336014585,0.7419047237846784,-0.5316138971945578,-0.19920664336014585,-0.09241577594639437,0.12634872565464925,0.10714587103131779,-0.017709752656496866,-0.5316138971945578,0.27707167188658627,0.12287539920747252,1.280177751476696,0.23600706788555953,-0.09630475485553312
BF130006,-0.21661554863373628,0.6955461763924983,-0.5730085622421617,-0.21661554863373628,-0.09037280432793196,0.13972709827644422,0.12077330849538576,-0.01407145183715792,-0.5730085622421617,0.3018340703830171,0.1403593532861964,1.3265535519353486,0.2423561700487814,-0.12073781380305089
BF130007,-0.21832723683446553,0.7129162546316704,-0.5442068552374277,-0.21832723683446553,-0.09425380625439389,0.12682000067816207,0.1087535665101512,-0.026672965552647275,-0.5442068552374277,0.2754674246868403,0.12568831011973713,1.28751373583247,0.2502012096970879,-0.08197346572599935
BF460101,-0.2345778216868843,0.6777376242553181,-0.576419220422861,-0.2345778216868843,-0.07538072353321594,0.13533431560468098,0.11991631487502147,-0.029705570122625986,-0.576419220422861,0.31058572440182375,0.14189202166112122,1.3307090138837658,0.24880361067609436,-0.08903845365203009
BF460102,-0.22125349275973785,0.6898120203219865,-0.5841445290923454,-0.22125349275973785,-0.06698482869486592,0.1621450385982553,0.14425579565220054,-0.01275832202252997,-0.5841445290923454,0.36193780780180707,0.1712062378705028,1.4131455753976878,0.279491095453826,-0.09838494189125371
BF460103,-0.23356830335439957,0.6822092553547854,-0.579402382196124,-0.23356830335439957,-0.07807942951976268,0.0962339103571229,0.0867792553332772,-0.03200026435995653,-0.579402382196124,0.20896687848341342,0.10404482536589925,1.2322545330649832,0.22543614810288878,-0.1143970342676511
