ADM3_PCODE,MNDWI,BRBA,NBAI,NDSI,VARI,SAVI,OSAVI,NDMI,NBAI,EVI,NDVI,SR,ARVI,UI
BF130001,-0.2260630629484122,0.6917340313130248,-0.5713029932185925,-0.2260630629484122,-0.07699035908481847,0.15830970579794795,0.14002760566974817,-0.01746746720682009,-0.5713029932185925,0.3433696442422985,0.16548711447637848,1.397538206629569,0.28196919075720667,-0.08755085288057501
BF130002,-0.22315881807822946,0.6994282204686106,-0.5537198478059694,-0.22315881807822946,-0.08027138640175494,0.13975363378694197,0.1232985167955216,-0.03247996771766329,-0.5537198478059694,0.29794897371922746,0.1454577333715039,1.3426931650152463,0.26961614082376545,-0.06573008574930161
BF130003,-0.21406050777033708,0.7129152262638467,-0.5322884995052258,-0.21406050777033708,-0.08068180970160269,0.1393042960457199,0.12132138174929538,-0.026550398461439854,-0.5322884995052258,0.29885346459931617,0.14176721271399717,1.3314909958373233,0.26574233555773946,-0.07179835967144797
BF130004,-0.19339663011615232,0.7573971159853108,-0.5062530452263876,-0.19339663011615232,-0.09443943197995143,0.10306119208078371,0.08944077710703185,-0.03486921489454193,-0.5062530452263876,0.21874395543001748,0.10424727465599114,1.2346622080956822,0.2344487242345846,-0.046635690751536486
BF130005,-0.23038542034147647,0.697412586668772,-0.5337076933457955,-0.23038542034147647,-0.08998006822277242,0.1537085698648435,0.13320015315213538,-0.02387925892288296,-0.5337076933457955,0.3134495117156418,0.15508914898551465,1.3675592379696804,0.28964777300634154,-0.07312178388485702
BF130006,-0.20512566743988062,0.72017265567372,-0.5415041815312499,-0.20512566743988062,-0.07419769999969417,0.14987649713837026,0.13073349321835268,-0.010222357657869604,-0.5415041815312499,0.337025658783708,0.15295135499817006,1.3629999582523133,0.2652092284559434,-0.09772436286974485
BF130007,-0.19986388244415348,0.7323535281721246,-0.5240730373921721,-0.19986388244415348,-0.07968429673577104,0.14161193053215457,0.1227951117170515,-0.011818650478964413,-0.5240730373921721,0.3212558685874712,0.14304141846240864,1.3338934800180877,0.2555697675176946,-0.08518085470471869
BF460101,-0.1957926375469881,0.7206624605008858,-0.5598234457044013,-0.1957926375469881,-0.05980689763304815,0.153487240212391,0.13566140250480924,-0.002184100444662986,-0.5598234457044013,0.3722860114739765,0.1602401844054028,1.3829053016885922,0.25467197732324665,-0.10144821269995556
BF460102,-0.1948058134456375,0.7245044480548118,-0.5616220036460988,-0.1948058134456375,-0.06297142803103599,0.14746408077507386,0.13029022906276153,-0.006154421299549535,-0.5616220036460988,0.36350763392794694,0.15384935501956026,1.3638207231061403,0.2460747662119999,-0.10231403956869688
BF460103,-0.14124552759772457,0.7928253032592208,-0.5409876968493184,-0.14124552759772457,-0.04344962517523048,0.14186808138140564,0.1251464034486266,0.031000631280823983,-0.5409876968493184,0.38499009521669125,0.1476000133380296,1.348700586601746,0.22543443582666525,-0.1278363734520232
BF460104,-0.1841896734646579,0.734607096456327,-0.5594289094099442,-0.1841896734646579,-0.05439607587230804,0.15500460155883083,0.13721894768687107,0.008799580316323328,-0.5594289094099442,0.36898707095600053,0.16226019453606047,1.3880257718910418,0.25920021032610163,-0.10874980059542752
BF460105,-0.19009977601783284,0.7351600087342136,-0.5461450802873333,-0.19009977601783284,-0.06592913766143546,0.14870457281166774,0.13074837599720185,9.744225930586963E-4,-0.5461450802873333,0.3483370852881628,0.15383993103148283,1.3639609465275164,0.2567233573983118,-0.09659278419269754
BF460106,-0.18712502193128516,0.7280839500502129,-0.5685585585093387,-0.18712502193128516,-0.05263378785531525,0.16615141766101868,0.14756583846872307,0.01788177115625741,-0.5685585585093387,0.4074028482353475,0.1749370648843176,1.42668869856826,0.26580810922839077,-0.1194998707432791
BF460107,-0.21022061835918757,0.7082378828767225,-0.5597105842986688,-0.21022061835918757,-0.0699912722864905,0.1566804424297086,0.13796929215644793,-0.008494278317639756,-0.5597105842986688,0.35606859491985815,0.16252134856348194,1.3888710888114808,0.26900784062772326,-0.0933149014737795
BF460108,-0.1722690255139239,0.7531718130573143,-0.547571395826287,-0.1722690255139239,-0.05610239348528888,0.14963166464356173,0.13150000400371212,0.014117537199400686,-0.547571395826287,0.37327902860402284,0.15467294212105137,1.3662596714667297,0.24539738918774548,-0.11859011073462436
BF460109,-0.17242224306116616,0.753298472324528,-0.5406740285116166,-0.17242224306116616,-0.055898081251636256,0.14851184058785213,0.1305715150240718,0.013086021447444099,-0.5406740285116166,0.3565347533041326,0.153630645491159,1.363357053363289,0.25172985732395,-0.10676724238227127
BF460110,-0.18937489646987427,0.7306830171918736,-0.5552587668907257,-0.18937489646987427,-0.06036275548368194,0.15069092103998602,0.1328783238713195,9.390662747099239E-4,-0.5552587668907257,0.3729760367629789,0.15667840799517738,1.3727736834677091,0.24805789200562242,-0.10534222694749809
BF460201,-0.20149779659984376,0.7192594614178169,-0.5600654788601321,-0.20149779659984376,-0.06716890954133406,0.16008524794680715,0.1415605704555109,0.0038338561292234883,-0.5600654788601321,0.3645286642795245,0.16727051943483198,1.4026015172656068,0.272627495468812,-0.09649564875489872
BF460202,-0.21198878373255592,0.7034859064725618,-0.5485776551160716,-0.21198878373255592,-0.06639258350066089,0.16253446595541765,0.14314280028887463,-0.005901500024340131,-0.5485776551160716,0.36583256388849184,0.16864676351866184,1.4063033491992856,0.27817154905387603,-0.0808988480092803
BF460203,-0.2013534306409375,0.7075302591504855,-0.5673418781262114,-0.2013534306409375,-0.05319013216164053,0.17011226543279578,0.1509758495029084,0.007655600366551096,-0.5673418781262114,0.3956741924842534,0.17886647173462056,1.4358452290615795,0.27818103469708716,-0.10299082295993317
