ADM2_PCODE,conflict_diffusion_indicator
BF4601,0.0
BF4602,0.0
BF4603,0.05194805194805195
BF4604,0.0
BF4605,0.0
BF4606,0.08333333333333333
BF4701,0.05228758169934641
BF4702,0.0
BF1300,0.03125
BF4801,0.0
BF4802,0.018867924528301886
BF4803,0.0
BF4901,0.09523809523809523
BF4902,0.03125
BF4903,0.12371134020618557
BF5001,0.0
BF5002,0.0
BF5003,0.0
BF5004,0.0
BF5101,0.0
BF5102,0.025
BF5103,0.0
BF5201,0.0
BF5202,0.12280701754385964
BF5203,0.12962962962962962
BF5204,0.0625
BF5205,0.05405405405405406
BF5301,0.0
BF5302,0.0
BF5303,0.0
BF5401,0.32432432432432434
BF5402,0.0
BF5403,0.14285714285714285
BF5404,0.0
BF5501,0.0
BF5502,0.0
BF5503,0.0
BF5601,0.21359223300970873
BF5602,0.125
BF5603,0.1349206349206349
BF5604,0.2222222222222222
BF5701,0.0
BF5702,0.0
BF5703,0.0
BF5704,0.0125
