ADM3_PCODE,count_min,count_max,count_mean,count_median,count_stdDev,cv_area_min,cv_area_max,cv_area_mean,cv_area_median,cv_area_stdDev,cv_length_min,cv_length_max,cv_length_mean,cv_length_median,cv_length_stdDev,density_min,density_max,density_mean,density_median,density_stdDev,mean_area_min,mean_area_max,mean_area_mean,mean_area_median,mean_area_stdDev,mean_length_min,mean_length_max,mean_length_mean,mean_length_median,mean_length_stdDev,total_length_min,total_length_max,total_length_mean,total_length_median,total_length_stdDev,urban_min,urban_max,urban_mean,urban_median,urban_stdDev
BF130001,1.0,55.0,5.431332434224061,3.0000000000000004,5.812759492980665,0.0,2.3160533905029297,0.3689342578147112,0.33625020065805966,0.34020596103969025,0.0,1.2541091442108154,0.1957535541165845,0.1758015909868009,0.1876760409101845,119.62371063232422,6579.8955078125,649.921770364545,358.9846949608167,695.5493935743849,4.959627151489258,1241.840576171875,31.748606941510953,19.1973410199151,52.888551512266964,8.754144668579102,155.37667846679688,20.754793363443934,17.488021328411648,11.377224175059013,8.754144668579102,1126.9935302734375,101.7282683729213,68.09743330007082,104.79171253957048,0,0,0.0,0.0,0.0
BF130002,1.0,125.0,12.478565877279392,5.000000000000001,18.87878944987102,0.0,2.74528431892395,0.5317827501278604,0.5227973286922162,0.40616823027462967,0.0,1.7044076919555664,0.2858530285254831,0.27702784680436093,0.22470532557164744,119.6048583984375,14963.32421875,1493.5836974043089,598.3721776130908,2259.836174081092,4.864680767059326,5046.86962890625,43.73771991642363,19.83708592509074,92.66548310226045,8.969889640808105,466.44903564453125,24.04840328132771,20.968602827064963,14.086334965294887,8.969889640808105,2515.48486328125,280.28383081939853,119.77413208052798,417.0733956747455,0,1,0.48602821113181127,0.0,0.49982187648902826
BF130003,1.0,101.0,6.244181546296306,3.0,9.289945880976557,0.0,2.193049192428589,0.367744095953611,0.33529837532290097,0.3467846692725446,0.0,1.513813853263855,0.19582829465235704,0.16791616940315876,0.19423366416936483,119.63186645507812,12088.6962890625,747.3134069948168,359.04206153098335,1111.8717900283693,4.722815990447998,1510.0242919921875,31.032489322411692,19.20960982300152,57.21520597425264,9.17767333984375,183.94715881347656,20.27290874016582,16.485751211422023,11.746340182305527,9.17767333984375,2040.68212890625,122.26300225786085,60.03210860032029,192.7787333950992,0,1,3.2251543157677804E-5,0.0,0.00997261287073905
BF130004,1.0,128.0,26.44294292221683,22.000000000000004,21.65958643517989,0.0,4.507215976715088,0.8003568628202321,0.828731363884866,0.3692559751064369,0.0,2.4710781574249268,0.4369808404609929,0.4453280635340181,0.20608420239152586,119.69908142089844,15329.177734375,3166.5235083740504,2634.475613009431,2593.763402375807,5.161256313323975,20601.673828125,63.3365082784391,49.740051525628466,146.13367535989366,9.173253059387207,744.7119750976562,29.35873916774615,26.019504253129178,14.358973887604085,9.173253059387207,2803.84228515625,721.0125987877648,647.8223636237605,542.0409475031355,0,1,0.9652174488534992,1.0,0.1850259417428341
BF130005,1.0,76.0,6.255295768652927,3.0,7.5870465720522295,0.0,2.2799601554870605,0.38238287254058473,0.35165179288591847,0.35360614315752836,0.0,1.293151617050171,0.2039849253809826,0.17598619162477408,0.19765875573192107,119.77366638183594,9106.173828125,749.4712165702848,359.45150022166666,908.9586655650693,4.882100582122803,3154.627197265625,32.48234500281038,21.452539900600673,62.16749898892587,9.12302017211914,245.52418518066406,20.876498043679685,17.464311264324838,11.82124675972869,9.12302017211914,1596.69482421875,119.43731544360958,67.84493540606721,141.7104838830354,0,1,0.3360608499779803,0.0,0.4738883498318735
BF130006,1.0,112.0,13.203327942830846,6.000000000000001,17.310500352101176,0.0,2.799746513366699,0.5177830931155921,0.5082793333799136,0.399971752789851,0.0,1.7496908903121948,0.2781413384667956,0.26952365798741956,0.2207358385965539,119.69231414794922,13413.4990234375,1581.1770738644843,718.5398726846779,2073.02941207826,4.933388710021973,5103.23388671875,41.651447014243956,19.943624572673546,76.339000968122,9.001187324523926,303.7706604003906,23.646129881789165,21.03711237861253,12.069448819013676,9.001187324523926,2428.10107421875,310.73067004410797,120.0276612111554,411.7580568042807,0,1,0.5367642922888117,1.0,0.4985640601406654
BF130007,1.0,97.0,6.67662941168833,4.0,7.876820080625342,0.0,2.878833532333374,0.4144548939705913,0.38292760394389713,0.36388564479060576,0.0,1.4604507684707642,0.21814237447733573,0.2071885133300418,0.19760262374859947,119.66610717773438,11617.0478515625,799.3368487970156,478.8874941400665,943.0177311956281,4.892338752746582,2134.2060546875,34.27580840406239,21.874020640575832,56.94653349901832,9.026846885681152,259.1424865722656,21.620574348663542,18.47441092985547,11.158375723788488,9.026846885681152,1899.963134765625,133.334706539372,76.0011545105815,157.8750438923483,0,1,0.22055074293578086,0.0,0.41566384002632767
BF460101,1.0,77.0,8.643073665136638,4.0,11.632358806666272,0.0,2.4796459674835205,0.3866280690723346,0.38253970091993156,0.345697376117024,0.0,1.0520278215408325,0.20629547712747315,0.20713559698702494,0.187096142487429,119.41777801513672,9199.84375,1032.6841938602495,477.9022360469944,1389.9165046391363,4.957857608795166,1517.2548828125,31.894131954816334,20.181275115363952,48.54272120745098,8.678613662719727,167.113037109375,21.493874368313612,19.495275142065495,9.714531284866963,8.678613662719727,1619.5706787109375,184.42660802217551,75.68161683035369,252.3997925336758,0,0,0.0,0.0,0.0
BF460102,1.0,85.0,11.758832341125075,5.0,15.166406621450003,0.0,1.9709147214889526,0.43169945462004516,0.44848771737172055,0.32550516252574935,0.0,1.1598252058029175,0.2316831852645496,0.23826573938131332,0.18103730670395976,119.53561401367188,10163.5068359375,1405.897781387112,597.8052876790365,1813.3111066506085,5.2415242195129395,512.04443359375,33.60392006417823,25.026891841444858,34.68855389569847,9.18480110168457,95.96515655517578,22.236453080536375,20.770240812159297,8.394983264429017,9.18480110168457,1803.1876220703125,252.7861172251595,115.83689410869891,323.028913768481,0,0,0.0,0.0,0.0
BF460103,1.0,79.0,9.327168367346937,4.0,11.675832934218414,0.0,2.089545726776123,0.43093943668990664,0.4292931599893432,0.3530591635384351,0.0,1.3754020929336548,0.2326392387891592,0.23038671041528383,0.196610409262685,119.40643310546875,9439.083984375,1114.2991678530618,477.8753130487879,1394.897769760604,5.120737552642822,619.3976440429688,34.97058514766248,25.97757676856429,36.38422493130677,9.183111190795898,137.3160858154297,22.449490929402035,20.508969326643825,9.703571435018507,9.183111190795898,1798.653076171875,216.32069073991025,92.09251414707728,284.88352495324455,0,1,0.36424115879228397,0.0,0.48098836380446364
