adm2_pcode,direct,true,hage,hgender1,mstat1,nation2,toit1,eauboi_ss1,eva_toi1,cuisin1,hmstat1,hreligion1,hbranch1,hcsp1,conflict_diffusion_indicator,geo_mndwi,geo_brba,geo_nbai,geo_vari,geo_savi,geo_osavi,geo_evi,geo_ndvi,geo_sr,geo_arvi,geo_ui
BF5102,.33477178,.247,.040000629,-.21668361,-.5987891,.18306227,-.60592359,-.8574751,.71885777,.23961563,2.6086881,-1.1143831,.94666636,-.087934986,-.28114644,-.2061583,.69992584,-.56338006,-.051929507,.16728276,.14840116,.38652155,.17579284,1.4278033,.27727702,-.094092093
BF5201,.43636259,.357,.13736334,.14509027,.95418221,.58916956,2.6255312,-.37733743,.39521626,.78546381,-.77256298,-.72020274,.93814105,-.42269611,-.62040621,-.22225867,.71603101,-.51021969,-.095481358,.13139182,.11301452,.26683772,.13089693,1.3026892,.27141899,-.057828411
BF5202,.29391977,.442,.43625885,-.39993808,.18173034,-.26816943,-.029908875,-.69580334,-.40647832,-3.9454076,.025977023,-.3282795,-.037953064,.73035854,1.0461332,-.2085326,.71145785,-.53498089,-.06959448,.15261909,.13325018,.34437394,.156029,1.371636,.26759329,-.085225105
BF5203,.54303181,.315,-2.6853981,1.4153453,-1.0619946,-.29404888,3.727561,-1.1055715,.47333774,-.32229254,-.77256298,-1.4628804,.68435168,-.42269611,1.1387186,-.22174314,.7038973,-.53529441,-.083341599,.15478007,.13403949,.33207425,.15599626,1.3707485,.27953202,-.086847834
BF5205,.66095167,.655,-1.4432217,.74714988,-.033174533,.78583872,2.0611417,.80805641,.62896007,.56648248,-.47725093,-1.4143384,-.49204224,-.42269611,.11312849,-.21166912,.70150149,-.55738223,-.063329101,.16191569,.14299259,.37066203,.16884211,1.4072777,.27496636,-.088268735
BF5301,.34057772,.259,-.45036346,.82004762,-.1809403,-.056414079,-.67082798,.81163776,.20101902,.45389643,.46909285,.53168017,.65588242,-.42269611,-.62040621,-.18616019,.72760946,-.55803078,-.049984779,.17299971,.15282273,.42299485,.18045308,1.4422332,.2710754,-.11938348
BF5302,.48617083,.523,-.46795937,1.3445382,.44201639,.13752323,-.68657827,1.3617498,-.22536778,.57883579,-.77256298,1.1644187,1.0717484,-.42269611,-.62040621,-.18722185,.72090316,-.56716937,-.044121459,.18524462,.16379452,.44731736,.19353135,1.4822615,.28366041,-.13337758
BF5303,.74406171,.336,-1.3177702,.16731599,-1.8304104,.30331269,-.34894633,-.17480521,.50572819,.80903083,-.69297743,-.84469378,.99806803,-.42269611,-.62040621,-.16972236,.74884069,-.55332351,-.046312205,.15964583,.14085326,.41692939,.16615924,1.4008477,.24771066,-.12610178
BF5401,.82982653,.696,-.46916279,.24764909,1.5137461,.78583872,.85174572,-.36709541,.88439512,.34627447,-.77256298,1.1886017,-1.36853,-.42269611,3.7808018,-.20626716,.75058657,-.49982506,-.10814721,.1205791,.10315349,.2419177,.11903311,1.271462,.26272485,-.073053516
BF5402,.54535598,.703,1.3149651,-1.3995413,-.13329484,-.7813679,-.42582074,.59201926,.88439512,.86215222,-.77256298,-.36195523,.27458379,-.42269611,-.62040621,-.21226932,.72041869,-.53583819,-.084930763,.14871889,.12920158,.31441322,.15071574,1.3563704,.27772149,-.087069176
BF5403,.38179445,.514,.57916921,-.24994099,.40184793,.52891022,-.88305962,.64029944,-.84981519,-2.8194923,-.77256298,1.1176509,-1.3055068,-.42269611,1.3182213,-.19884351,.75381523,-.50779867,-.099519938,.11697832,.10066775,.24676296,.1166441,1.2665409,.24932678,-.071888395
BF5404,.81749845,.633,.85241473,-1.6323496,2.0046978,.78583872,-.83047456,1.9440889,.0071936189,.86215222,1.4354724,.029743098,.42961812,3.6127157,-.62040621,-.18214749,.76256454,-.5122081,-.080883771,.13160014,.11369394,.30003276,.13210309,1.3056139,.24756487,-.093234994
BF5501,.43909717,.302,.95929664,.29111022,-1.4762084,.48749337,-.72327793,-.98572022,.19699968,.72873473,-.77256298,.088632755,-1.274424,-.20525825,-.62040621,-.19599722,.74017364,-.50505966,-.08004126,.13159873,.11323244,.29335284,.13118452,1.3032291,.24979323,-.078031398
BF5502,.55104315,.599,2.1690745,-.46740851,-.834059,.54737467,-.75330323,-.7224322,.88439512,.86215222,1.8361522,-.82269704,.95644873,-.42269611,-.62040621,-.20211762,.73198432,-.52352774,-.082268894,.1495242,.12901521,.32948607,.14976333,1.3529332,.26799813,-.098098345
BF5503,.28091896,.298,1.0125182,-.2906976,.38496843,.6189273,-1.0304238,-1.1055715,-.51980627,.030884832,-.77256298,-.037430849,-.005519839,.87375528,-.62040621,-.2002652,.74453372,-.51674449,-.087560765,.13104266,.11311404,.28208458,.13134257,1.3062389,.25834325,-.081673428
BF5601,.0079315724,.3720000000000001,.25165844,.26885164,-.007286998,.78583872,.26651099,.53391522,-1.0027444,-1.3129336,2.4861114,1.4229915,-2.7316496,-.42269611,2.2781241,-.21373455,.75454998,-.47687081,-.12171106,.10572873,.089605369,.1949427,.10273176,1.2299097,.27030629,-.050544716
BF5602,.60707253,.41,.91137207,-.86141783,-1.1740469,-1.0062337,.0028822143,-.90692788,.40635875,-.62532884,1.4559542,1.4229915,-2.2728059,-.42269611,1.0758928,-.24742787,.69592774,-.51075959,-.11403771,.12418731,.10633086,.22868565,.12276875,1.2807699,.28764871,-.040734462
BF5603,.46565554,.596,-1.5640965,1.2285151,.073268346,.78583872,.17792381,-.2454621,.1634343,-.4706946,-.77256298,1.4229915,-2.191963,-.42269611,1.2105198,-.20068443,.76410621,-.48258102,-.1112086,.1087978,.092695519,.21063794,.10665954,1.2401973,.26168197,-.059845742
BF5604,.41678163,.351,.92314559,-.087912813,-1.7229379,.78583872,.029839575,.23508184,-1.2225094,.86215222,-.77256298,.97224301,-2.3388174,-.42269611,2.3952365,-.21867421,.72558236,-.51639003,-.10132533,.12804741,.11023589,.25818476,.12776631,1.2937326,.27035582,-.066726148
BF5701,.54042596,.305,-1.4765166,1.1613727,.56740916,.58525473,-.14377858,-.12421182,.63836449,.12589526,-.77256298,-.13957678,.20480525,-.42269611,-.62040621,-.1582741,.75285989,-.57292837,-.030409748,.17423323,.15546168,.46460712,.18492264,1.4554757,.25596935,-.14615396
BF5702,.24074395,.462,-.25485909,.067282252,.12570977,.4538818,-.001614719,-.045574944,.35349384,-.89864618,-.77256298,-1.9174287,.75148481,-.099215433,-.62040621,-.15077312,.7778663,-.54618979,-.045484819,.14733203,.13028798,.38041207,.15395734,1.3645811,.23794341,-.12353174
BF5703,.2230795,.449,-.82740402,.28227821,-.55859834,-1.0891894,.49307021,-.74260014,.49657956,-.604294,1.4244412,-1.7490311,1.0347265,3.6290138,-.62040621,-.18974644,.70227987,-.58695459,-.026258469,.19220316,.17246895,.47232947,.2060295,1.5200084,.28857291,-.13024957
BF5704,.44920361,.353,.090375327,-1.9138452,-.87353438,-.84592015,.99324971,-.080670714,.79736501,.42378822,1.0120369,-2.0397396,.31344393,2.8350015,-.45077634,-.19234055,.70014775,-.59341609,-.027780499,.19709894,.176762,.48367235,.2110849,1.5380384,.29340982,-.14090265
BF5103,,.14,,,,,,,,,,,,,,,,,,,,,,,,
BF5204,,.458,,,,,,,,,,,,,,,,,,,,,,,,
